Персики;45;0.9;0.1;9.5
Слива;49;0.8;0.3;9.6
Смородина черная;44;1;0.4;7.3
Смородина красная;43;0.6;0.2;7.7
Смородина белая;42;0.5;0.2;8
Хурма;67;0.5;0.4;15.3
Черешня;52;1.1;0.4;10.6
Черника;44;1.1;0.6;7.6
Шиповник сухой;284;3.4;1.4;48.3
Яблоки;47;0.4;0.4;9.8
Баклажаны;24;1.2;0.1;4.5
Горошек зеленый;73;5;0.2;12.8
Кабачки;24;0.6;0.3;4.6
Капуста белокачанная;28;1.8;0.2;4.7
Капуста краснокачанная;26;0.8;0.2;5.1
Капуста цветная;30;2.5;0.3;4.2
Репа;32;1.5;0.1;6.2
Свекла;42;1.5;0.1;8.8
Томаты;24;1.1;0.2;3.8
Тыква;22;1;0.1;4.4
Чеснок;149;6.5;0.5;29.9
Яйцо куриное;157;12.7;11.5;0.7
Яйцо перепелиное;16;11.9;13.1;0.6
Яйцо утиное;185;12.8;13.8;1.5
Яйцо индюшиное;171;13.7;11.9;1.2
Яйцо гусиное;185;13.9;13.3;1.4
Горбуша;140;20.5;6.5;0
Кальмар;100;18;2.2;2
Карась;87;17.7;1.8;0
Карп;112;16;5.3;0
Кета;127;19;5.6;0
Краб;82;18.2;1;0
Креветка;87;18.3;1.2;0.8
Лещ;105;17.1;4.4;0
Семга;153;20;8.1;0
Минтай;111;23.5;1.2;0
Налим;81;18.8;0.6;0
Окунь морской;90;18.4;1.3;0
Окунь речной;82;18.5;0.9;0
Осетр;105;16.1;4;0
Палтус;91;18.6;1.3;0
Сазан;97;18.2;2.7;0
Сельдь;135;19.1;6.5;0
Сиг;144;19;7.5;0
Скумбрия;191;18;13.2;0
Сом;115;17.2;5.1;0
Ставрида;114;18.5;4.5;0
Судак;84;18.4;1.1;0
Треска;69;16;0.6;0
Тунец;139;24.4;4.6;0
Хек;86;16.6;2.2;0
Щука;84;18.4;1.1;0
Язь;117;19;4.5;0
Говядина;218;18.6;16;0
Говяжья печень;127;17.9;3.7;5.3
Говяжий язык;173;16;12.1;2.2
Гусь;412;15.2;39;0
Индейка;144;21.6;5.6;0
Конина;133;21.4;4.6;0
Кролик;183;21.2;11;0
Курица;238;18.2;18.4;0
Печень свиная;109;18.8;3.8;4.7
Сердце свиное;118;17.3;4.4;1.3
Утка;135;18.3;6;1
Язык свиной;225;16.3;17.2;0
Кефир;59;2.9;3.2;4
Молоко;60;3;3.2;4.7
Ряженка;54;2.9;2.5;4.2
Творог;169;18;9;3
Булгур;342;12.3;1.3;63.4
Гречневая крупа ;308;12.6;3.3;57.1
Кукурузная крупа;371;8.8;1.2;78
Манная ;333;10.3;1;70.6
Мука ржаная;305;6.9;1.4;66.3
Овсянка;342;12.3;6.1;59.5
Перловая крупа;315;9.3;1.1;66.9
Пшено;342;11.5;3.3;66.5
Рис;333;7;1;74
Хлеб ржаной;259;8.5;3.3;42.5
Хлеб пшеничный;235;7.6;0.8;49.2
Хлеб кукурузный;418;7;12.2;63
Ячневая крупа;313;10;1.3;65.4
Арахис;552;26.3;45.2;9.9
Грецкий орех;656;16.2;60.8;11.1
Кедровый орех;673;13.7;68.4;9.4
Лесной орех;653;13;62.6;9.3
Миндаль;609;18.6;53.7;13
Семя подсолнечника;601;20.7;52.9;10.5
Фисташки;560;20.2;45.3;16.6
Фундук;651;15;61.5;9.4
Шпик свиной;816;1.4;92.8;0
Варенье ягодное (малина);273;0.6;0.2;70.4
Варенье ягодное (клубника);285;0.3;0.1;74
Желатин;355;87.2;0.4;0.7
Зефир;326;0.8;0.1;79.8
Ирис полутвердый;408;3.3;7.6;81.5
Какао;289;24.3;15;10.2
Карамель леденцовая;384;0;0;95.8
Корица;247;4;1.2;27.5
Мармелад;321;0.1;0;79.4
Мед;328;0.8;0;80.3
Пастила;324;0.5;0;80
Сахар;399;0;0;99.8
Соль;0;0;0;0
Шоколад горький;539;6.2;35.4;48.2
Шоколад полугорький;549;4.5;35.4;52.5
Шоколад сладкий;550;3;34;57.6
Шоколад молочный;554;9.8;34.7;50.4
